Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,2380,2230,1390,1340,1290,1240,1180,1100,1040,810,760,730,1029.999971,1220.000029,1029.999971,1549.999952,1759.99999,1769.999981,3559.999943,4880.000114,7110.000134,8930.000305,8079.999924,5989.999771,4880.000114,5949.999809,5300.000191,4780.00021,6070.000172,6079.999924
Albania,5980,4060,2220,2060,2070,1930,1940,1470,1790,2970,3170,3230,3759.99999,4070.000172,4250,4030.00021,4010.000229,4139.999866,4079.999924,4219.99979,4449.999809,4849.999905,4360.000134,4440.000057,4820.000172,4619.999886,4480.000019,5139.999866,5110.000134,4829.999924
Algeria,62940,66430,66840,72220,73610,76440,76120,74430,74650,77510,80050,78650,82400.00153,88190.00244,89489.99786,94190.00244,99809.99756,102750,107750,112169.9982,114180.0003,120790.0009,134929.9927,139020.0043,147740.0055,156270.0043,154910.0037,158339.9963,165539.9933,171250
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,410,410,410,410,410,430,450,470,490,510,520,520,529.9999714,529.9999714,560.0000024,579.9999833,550.0000119,540.0000215,540.0000215,519.9999809,519.9999809,490.0000095,490.0000095,479.9999893,460.0000083,469.9999988,469.9999988,469.9999988,490.0000095,500
Angola,6560,6670,6880,9270,11300,12720,15440,16160,16770,17610,16200,15960,15689.99958,16760.00023,17450.00076,15810.00042,16559.99947,16969.99931,19280.00069,21149.99962,22799.99924,23870.00084,23870.00084,26959.99908,29629.99916,31649.99962,29760.00023,24250,23959.99908,25209.99908
Antigua and Barbuda,210,220,290,250,250,270,280,290,320,330,330,350,389.9999857,409.9999964,400.000006,409.9999964,439.9999976,460.0000083,479.9999893,1389.999986,490.0000095,540.0000215,699.9999881,469.9999988,479.9999893,490.0000095,500,500,509.9999905,519.9999809
Argentina,100320,105920,107930,110260,111910,112890,122550,126120,132670,134510,132270,125260,117470.0012,127660.0037,141380.0049,145990.0055,154899.9939,162809.9976,167229.9957,156570.0073,167220.0012,176639.9994,177960.0067,183250,179600.0061,185550.0031,183160.0037,179320.0073,176899.9939,168100.0061
Armenia,19850,20690,10900,5040,2740,3510,2580,3340,3470,3110,3560,3600,3119.999886,3500,3759.99999,4460.000038,4489.999771,5199.999809,5690.000057,4510.000229,4340.000153,4940.000057,5719.99979,5500,5480.000019,5340.000153,5070.000172,5369.999886,5710.000038,6170.000076
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,263630,264760,268400,273050,280180,290180,300810,307850,328620,333710,339450,345640,353369.9951,352579.9866,365809.9976,370089.9963,375489.9902,385750,388940.0024,395290.0085,387540.0085,386380.0049,386970.0012,380279.9988,371630.0049,377799.9878,384989.9902,389160.0037,387070.0073,386529.9988
