"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,456,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,592,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,613,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,662,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,835,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,786,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,537,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,601,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,352,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,283,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,238,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,343,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,294,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,254,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,358,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,408,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,491,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,555,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,579,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,17496,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,16882,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,15810,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,15862,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,15092,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,14866,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,15779,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,16304,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,15437,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,12791,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,13770,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,14316,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,14266,,
"CZE","Czech Republic","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,13965,,
